Mileage,Price
5000,10990
7000,11000
17000,9925
22000,9390
24000,10490
24000,9990
25000,9990
27000,9991
28000,10491
29000,7990
29000,9990
30000,9990
36000,9991
37000,9491
0,9990
38000,9493
38000,9491
38000,9491
39000,9990
61000,5500
70000,8990
72000,5994
73000,3500
