Model,Year,Kilometers,Fuel_Type,Price
Honda Amaze VX i DTEC,2014,94146, Diesel ,4560
Honda Amaze VX i DTEC,2014,91828, Diesel ,2880
Honda Amaze VX i DTEC,2014,91332, Diesel ,2300
Honda Amaze VX i DTEC,2014,84107, Diesel ,2650
Honda Amaze VX i DTEC,2014,82709, Diesel ,2750
Honda Amaze VX i DTEC,2014,80000, Diesel ,4600
Honda Amaze VX i DTEC,2014,79324, Diesel ,2990
Honda Amaze VX i DTEC,2014,79303, Diesel ,2000
Honda Amaze VX i DTEC,2014,74884, Diesel ,3500
Honda Amaze VX i DTEC,2014,71481, Diesel ,2750
Honda Amaze VX i DTEC,2014,70000, Diesel ,3000
Honda Amaze VX i DTEC,2014,68978, Diesel ,2800
Honda Amaze VX i DTEC,2014,66776, Diesel ,2300
Honda Amaze VX i DTEC,2014,27961, Diesel ,4220
Honda Amaze VX i DTEC,2015,200000, Diesel ,3500
Honda Amaze VX i DTEC,2015,121940, Diesel ,2950
Honda Amaze VX i DTEC,2015,120000, Diesel ,4000
Honda Amaze VX i DTEC,2015,112403, Diesel ,3000
Honda Amaze VX i DTEC,2015,107252, Diesel ,2900
Honda Amaze VX i DTEC,2015,95338, Diesel ,2250
Honda Amaze VX i DTEC,2015,80000, Diesel ,4800
Honda Amaze VX i DTEC,2015,77279, Diesel ,3500
Honda Amaze VX i DTEC,2015,53000, Diesel ,3300
Honda Amaze VX i DTEC,2015,35341, Diesel ,3000
Honda Amaze VX i DTEC,2015,35341, Diesel ,3000
Honda Amaze VX i DTEC,2016,70000, Diesel ,5700
Honda Amaze VX i DTEC,2017,120000, Diesel ,3000
Honda Amaze VX i DTEC,2017,110000, Diesel ,5500
Honda Amaze VX i DTEC,2017,79968, Diesel ,6000
Honda Amaze VX i DTEC,2017,40000, Diesel ,4900
Honda Amaze VX i DTEC,2018,149091, Diesel ,6200
Honda Amaze VX i DTEC,2018,137976, Diesel ,4600
Honda Amaze VX i DTEC,2018,110000, Diesel ,5700
Honda Amaze VX i DTEC,2018,90000, Diesel ,7500
Honda Amaze VX i DTEC,2018,81126, Diesel ,5780
Honda Amaze VX i DTEC,2018,64812, Diesel ,6000
Honda Amaze VX i DTEC,2018,62312, Diesel ,5500
Honda Amaze VX i DTEC,2018,56069, Diesel ,6100
Honda Amaze VX i DTEC,2018,53955, Diesel ,6750
Honda Amaze VX i DTEC,2018,50000, Diesel ,7300
Honda Amaze VX i DTEC,2018,50000, Diesel ,6100
Honda Amaze VX i DTEC,2018,33694, Diesel ,6490
Honda Amaze VX i DTEC,2019,120000, Diesel ,6000
Honda Amaze VX i DTEC,2019,68816, Diesel ,7950
Honda Amaze VX i DTEC,2019,30000, Diesel ,6500
Honda Amaze VX i DTEC,2021,60000, Diesel ,4220
Honda Amaze VX i DTEC,2021,30000, Diesel ,11500
Honda Amaze VX i DTEC,2021,28183, Diesel ,8500
Honda Amaze VX i-DTEC,2013,170137, Diesel ,2800
Honda Amaze VX i-DTEC,2014,148000, Diesel ,3500
Honda Amaze VX i-DTEC,2014,69900, Diesel ,4250
Honda Amaze VX i-DTEC,2015,85949, Diesel ,5050
Honda Amaze VX i-DTEC,2015,60130, Diesel ,4800
Honda Amaze VX i-DTEC,2016,40000, Diesel ,5100
Honda Brio VX,2012,85367, Petrol ,3280
Honda Brio VX,2012,80618, Petrol ,2850
Honda Brio VX,2012,80000, Petrol ,2000
Honda Brio VX,2012,79999, Petrol ,3100
Honda Brio VX,2012,73453, Petrol ,2250
Honda Brio VX,2012,72452, Petrol ,2890
Honda Brio VX,2012,71320, Petrol ,2100
Honda Brio VX,2012,71169, Petrol ,3260
Honda Brio VX,2012,65865, Petrol ,2390
Honda Brio VX,2012,64000, Petrol ,2900
Honda Brio VX,2012,49000, Petrol ,2490
Honda Brio VX,2012,48000, Petrol ,2750
Honda Brio VX,2012,48000, Petrol ,2750
Honda Brio VX,2012,47217, Petrol ,2200
Honda Brio VX,2012,47000, Petrol ,2300
Honda Brio VX,2012,8000, Petrol ,2850
Honda Brio VX,2013,128431, Petrol ,2800
Honda Brio VX,2013,104980, Petrol ,3160
Honda Brio VX,2013,82097, Petrol ,2130
Honda Brio VX,2013,75245, Petrol ,2250
Honda Brio VX,2013,74424, Petrol ,2300
Honda Brio VX,2013,70000, Petrol ,3250
Honda Brio VX,2013,66000, Petrol ,4000
Honda Brio VX,2013,65572, Petrol ,3130
Honda Brio VX,2013,59617, Petrol ,3230
Honda Brio VX,2013,58176, Petrol ,2600
Honda Brio VX,2013,57368, Petrol ,1900
Honda Brio VX,2013,53313, Petrol ,2800
Honda Brio VX,2013,48500, Petrol ,2890
Honda Brio VX,2013,48219, Petrol ,2500
Honda Brio VX,2013,45487, Petrol ,3330
Honda Brio VX,2013,43693, Petrol ,2250
Honda Brio VX,2013,37000, Petrol ,2990
Honda Brio VX,2013,33912, Petrol ,2850
Honda Brio VX,2013,32654, Petrol ,3250
Honda Brio VX,2013,18511, Petrol ,3440
Honda Brio VX,2014,85269, Petrol ,3000
Honda Brio VX,2014,41052, Petrol ,2650
Honda Brio VX,2014,39000, Petrol ,3510
Honda Brio VX,2014,32000, Petrol ,3350
Honda Brio VX,2014,28000, Petrol ,3000
Honda Brio VX,2015,99398, Petrol ,3460
Honda Brio VX,2015,60000, Petrol ,4600
Honda Brio VX,2015,55590, Petrol ,4100
Honda Brio VX,2015,53560, Petrol ,3000
Honda Brio VX,2015,29597, Petrol ,3720
Honda Brio VX,2015,26107, Petrol ,5020
Honda Brio VX,2016,68000, Petrol ,4400
Honda Brio VX,2016,56945, Petrol ,3700
Honda Brio VX,2016,50000, Petrol ,4000
Honda Brio VX,2016,45000, Petrol ,4100
Honda Brio VX,2016,28000, Petrol ,4700
Honda Brio VX,2016,28000, Petrol ,4700
Honda Brio VX,2016,16000, Petrol ,4650
Honda Brio VX,2017,57253, Petrol ,3200
Honda Brio VX,2017,26536, Petrol ,5200
Honda Brio VX,2018,30346, Petrol ,4790
Honda BR-V i-DTEC V MT,2016,120000, Diesel ,4500
Honda BR-V i-DTEC V MT,2016,59235, Diesel ,7110
Honda BR-V i-DTEC V MT,2016,41163, Diesel ,6500
Honda BR-V i-DTEC V MT,2017,172246, Diesel ,6310
Honda BR-V i-DTEC V MT,2017,42000, Diesel ,7400
Honda BR-V i-DTEC V MT,2018,90000, Diesel ,6500
Honda BR-V i-DTEC V MT,2019,23561, Diesel ,11000
Honda BR-V i-VTEC E MT,2016,59000, Petrol ,6500
Honda BR-V i-VTEC E MT,2016,56471, Petrol ,6000
Honda BR-V i-VTEC E MT,2016,35000, Petrol ,8500
Honda BR-V i-VTEC E MT,2017,71359, Petrol ,7000
Honda BR-V i-VTEC E MT,2017,62000, Petrol ,6900
Honda BR-V i-VTEC E MT,2017,58646, Petrol ,7490
Honda BR-V i-VTEC E MT,2017,57509, Petrol ,7230
Honda BR-V i-VTEC E MT,2017,38283, Petrol ,6750
Honda BR-V i-VTEC E MT,2017,38000, Petrol ,7010
Honda BR-V i-VTEC E MT,2017,29401, Petrol ,7150
Honda BR-V i-VTEC E MT,2017,29000, Petrol ,8850
Honda BR-V i-VTEC E MT,2019,35000, Petrol ,7950
Honda BR-V i-VTEC E MT,2019,26000, Petrol ,6750
Honda BR-V i-VTEC E MT,2019,23000, Petrol ,8500
Honda BR-V i-VTEC E MT,2019,16549, Petrol ,9000
Honda City GXi,2004,109381, Petrol ,1500
Honda City GXi,2005,111279, Petrol ,1730
Honda City GXi,2005,106719, Petrol ,1250
Honda City GXi,2005,91687, Petrol ,1500
Honda City GXi,2005,59124, Petrol ,1510
Honda City GXi,2006,110000, Petrol ,1800
Honda City GXi,2006,110000, Petrol ,1800
Honda City GXi,2006,90000, Petrol ,1400
Honda City GXi,2006,84002, Petrol ,1500
Honda City GXi,2007,127220, Petrol ,1850
Honda City GXi,2007,100000, Petrol ,2000
Honda City GXi,2007,80000, Petrol ,1500
Honda City GXi,2008,223000, Petrol ,1000
Honda City GXi,2008,131990, Petrol ,1510
Honda City GXi,2008,131474, Petrol ,1500
Honda City GXi,2008,125051, Petrol ,1200
Honda City GXi,2008,123000, Petrol ,1650
Honda City GXi,2008,120000, Petrol ,1600
Honda City GXi,2008,120000, Petrol ,1900
Honda City GXi,2008,110000, Petrol ,1100
Honda City GXi,2008,106485, Petrol ,3000
Honda City GXi,2008,104184, Petrol ,1280
Honda City GXi,2008,104000, Petrol ,1800
Honda City GXi,2008,81543, Petrol ,2320
Honda City GXi,2008,80000, Petrol ,2500
Honda City GXi,2008,70000, Petrol ,1250
Honda City GXi,2008,68013, Petrol ,1350
Honda City GXi,2008,60000, Petrol ,1200
Honda City GXi,2009,149155, Petrol ,3090
Honda City GXi,2009,137319, Petrol ,3000
Honda City GXi,2009,130135, Petrol ,2500
Honda City GXi,2009,127986, Petrol ,3000
Honda City GXi,2009,116146, Petrol ,2000
Honda City GXi,2009,114846, Petrol ,1300
Honda City GXi,2009,110000, Petrol ,1250
Honda City GXi,2009,110000, Petrol ,2500
Honda City GXi,2009,108450, Petrol ,2000
Honda City GXi,2009,108406, Petrol ,1800
Honda City GXi,2009,107124, Petrol ,1750
Honda City GXi,2009,103913, Petrol ,2320
Honda City GXi,2009,102816, Petrol ,1800
Honda City GXi,2009,95980, Petrol ,1780
Honda City GXi,2009,95515, Petrol ,3000
Honda City GXi,2009,95409, Petrol ,2500
Honda City GXi,2009,95000, Petrol ,2950
Honda City GXi,2009,93909, Petrol ,1150
Honda City GXi,2009,92128, Petrol ,1780
Honda City GXi,2009,90000, Petrol ,3000
Honda City GXi,2009,87163, Petrol ,1000
Honda City GXi,2009,85682, Petrol ,1950
Honda City GXi,2009,83088, Petrol ,1960
Honda City GXi,2009,83000, Petrol ,2450
Honda City GXi,2009,82000, Petrol ,2850
Honda City GXi,2009,81521, Petrol ,1960
Honda City GXi,2009,78766, Petrol ,2700
Honda City GXi,2009,78000, Petrol ,2490
Honda City GXi,2009,76831, Petrol ,2220
Honda City GXi,2009,73193, Petrol ,1960
Honda City GXi,2009,70200, Petrol ,2950
Honda City GXi,2009,67300, Petrol ,2350
Honda City GXi,2009,67000, Petrol ,4000
Honda City GXi,2009,65000, Petrol ,1750
Honda City GXi,2009,60000, Petrol ,1700
Honda City GXi,2009,59000, Petrol ,2500
Honda City GXi,2009,44869, Petrol ,2500
Honda City GXi,2009,43489, Petrol ,2000
Honda City GXi,2009,30296, Petrol ,2500
Honda City GXi,2010,191931, Petrol ,2500
Honda City GXi,2010,133878, Petrol ,2770
Honda City GXi,2010,120023, Petrol ,2400
Honda City GXi,2010,120000, Petrol ,5000
Honda City GXi,2010,105248, Petrol ,3000
Honda City GXi,2010,95618, Petrol ,3010
Honda City GXi,2010,94233, Petrol ,2200
Honda City GXi,2010,93275, Petrol ,3500
Honda City GXi,2010,92000, Petrol ,2500
Honda City GXi,2010,91744, Petrol ,2300
Honda City GXi,2010,89191, Petrol ,2610
Honda City GXi,2010,87362, Petrol ,2000
Honda City GXi,2010,87000, Petrol ,3950
Honda City GXi,2010,83013, Petrol ,2400
Honda City GXi,2010,78352, Petrol ,4600
Honda City GXi,2010,77000, Petrol ,3250
Honda City GXi,2010,76436, Petrol ,2100
Honda City GXi,2010,76000, Petrol ,2600
Honda City GXi,2010,73033, Petrol ,3990
Honda City GXi,2010,72464, Petrol ,2500
Honda City GXi,2010,72000, Petrol ,2800
Honda City GXi,2010,70590, Petrol ,3750
Honda City GXi,2010,70000, Petrol ,2750
Honda City GXi,2010,70000, Petrol ,2000
Honda City GXi,2010,68418, Petrol ,3010
Honda City GXi,2010,64000, Petrol ,3350
Honda City GXi,2010,59556, Petrol ,1950
Honda City GXi,2010,56000, Petrol ,2450
Honda City GXi,2010,50965, Petrol ,2500
Honda City GXi,2010,50000, Petrol ,3500
Honda City GXi,2010,50000, Petrol ,2750
Honda City GXi,2010,26900, Petrol ,3000
Honda City GXi,2011,119822, Petrol ,2370
Honda City GXi,2011,87487, Petrol ,2700
Honda City GXi,2011,82542, Petrol ,3010
Honda City GXi,2011,79000, Petrol ,3500
Honda City GXi,2011,78474, Petrol ,2400
Honda City GXi,2011,70000, Petrol ,3600
Honda City GXi,2011,70000, Petrol ,3300
Honda City GXi,2011,70000, Petrol ,3750
Honda City GXi,2011,67000, Petrol ,3250
Honda City GXi,2011,53418, Petrol ,3120
Honda City GXi,2011,52500, Petrol ,4090
Honda City GXi,2012,145956, Petrol ,3650
Honda City GXi,2012,97320, Petrol ,3630
Honda City GXi,2012,80000, Petrol ,3000
Honda City GXi,2012,72903, Petrol ,5000
Honda City GXi,2012,66000, Petrol ,3650
Honda City GXi,2012,62500, Petrol ,3500
Honda City GXi,2012,46761, Petrol ,4500
Honda City GXi,2013,100085, Petrol ,2830
Honda City GXi,2013,90000, Petrol ,5500
Honda City GXi,2013,63525, Petrol ,4000
Honda City GXi,2013,29126, Petrol ,4250
Honda City GXi,2013,23000, Petrol ,4850
Honda City GXi,2015,55000, Petrol ,5900
Honda City GXi,2016,58871, Petrol ,7800
Honda City GXi,2017,22500, Petrol ,8750
Honda City i DTEC VX,2014,188878, Diesel ,4500
Honda City i DTEC VX,2014,166563, Diesel ,4000
Honda City i DTEC VX,2014,149990, Diesel ,2750
Honda City i DTEC VX,2014,149237, Diesel ,3000
Honda City i DTEC VX,2014,142000, Diesel ,7150
Honda City i DTEC VX,2014,139841, Diesel ,3360
Honda City i DTEC VX,2014,135538, Diesel ,3500
Honda City i DTEC VX,2014,134397, Diesel ,5750
Honda City i DTEC VX,2014,131004, Diesel ,4790
Honda City i DTEC VX,2014,121147, Diesel ,3000
Honda City i DTEC VX,2014,119799, Diesel ,3670
Honda City i DTEC VX,2014,112306, Diesel ,5200
Honda City i DTEC VX,2014,110697, Diesel ,4040
Honda City i DTEC VX,2014,110481, Diesel ,5000
Honda City i DTEC VX,2014,110000, Diesel ,3500
Honda City i DTEC VX,2014,110000, Diesel ,5300
Honda City i DTEC VX,2014,104790, Diesel ,4000
Honda City i DTEC VX,2014,100000, Diesel ,5400
Honda City i DTEC VX,2014,98243, Diesel ,5620
Honda City i DTEC VX,2014,97285, Diesel ,3940
Honda City i DTEC VX,2014,92509, Diesel ,5000
Honda City i DTEC VX,2014,91123, Diesel ,4350
Honda City i DTEC VX,2014,91000, Diesel ,5300
Honda City i DTEC VX,2014,90000, Diesel ,4450
Honda City i DTEC VX,2014,88385, Diesel ,5500
Honda City i DTEC VX,2014,85533, Diesel ,3090
Honda City i DTEC VX,2014,82410, Diesel ,6600
Honda City i DTEC VX,2014,80000, Diesel ,5450
Honda City i DTEC VX,2014,80000, Diesel ,5000
Honda City i DTEC VX,2014,80000, Diesel ,4800
Honda City i DTec VX,2014,79074, Diesel ,5850
Honda City i DTEC VX,2014,75247, Diesel ,6500
Honda City i DTEC VX,2014,70262, Diesel ,5500
Honda City i DTEC VX,2014,70000, Diesel ,4350
Honda City i DTEC VX,2014,67245, Diesel ,4000
Honda City i DTEC VX,2014,66411, Diesel ,7000
Honda City i DTEC VX,2014,44901, Diesel ,3000
Honda City i DTEC VX,2014,41576, Diesel ,4500
Honda City i DTEC VX,2015,140499, Diesel ,5300
Honda City i DTEC VX,2015,125000, Diesel ,6000
Honda City i DTEC VX,2015,110586, Diesel ,5400
