Model,Year,Kilometers,Fuel_Type,Price
Honda City i VTEC CVT VX,2016,61221, Petrol ,8000
Honda City i VTEC CVT VX,2016,59010, Petrol ,7800
Honda City i VTEC CVT VX,2016,58000, Petrol ,6250
Honda City i VTEC CVT VX,2016,56660, Petrol ,7450
Honda City i VTEC CVT VX,2016,53025, Petrol ,7450
Honda City i VTEC CVT VX,2016,52000, Petrol ,7000
Honda City i VTEC CVT VX,2016,50900, Petrol ,6600
Honda City i VTEC CVT VX,2016,50000, Petrol ,6000
Honda City i VTEC CVT VX,2016,46564, Petrol ,5500
Honda City i VTEC CVT VX,2016,43977, Petrol ,6240
Honda City i VTEC CVT VX,2016,43000, Petrol ,7900
Honda City i VTEC CVT VX,2016,41000, Petrol ,6250
Honda City i VTEC CVT VX,2016,38532, Petrol ,8420
Honda City i VTEC CVT VX,2016,37000, Petrol ,7950
Honda City i VTEC CVT VX,2016,37000, Petrol ,6950
Honda City i VTEC CVT VX,2016,36000, Petrol ,6310
Honda City i VTEC CVT VX,2016,35620, Petrol ,7500
Honda City i VTEC CVT VX,2016,35025, Petrol ,7500
Honda City i VTEC CVT VX,2016,32291, Petrol ,7000
