Country,Description,Place,points,price,Provence,region1,region2,Variety,Winery
France,Coming from a seven-acre vineyard named after the dovecote on the property this is a magnificent wine. Powered by both fruit tannins and the 28 months of new wood aging it is darkly rich and with great concentration. As a sign of its pedigree there is also elegance here a restraint which is new to this wine. That makes it a wine for long-term aging. Drink from 2022.,Le Pigeonnier,95,290,Southwest France,Cahors,,Malbec,Chteau Lagrzette
France,This is the top wine from La  gude named after the highest point in the vineyard at 1200 feet. It has structure density and considerable acidity that is still calming down. With 18 months in wood the wine has developing an extra richness and concentration. Produced by the Tari family formerly of Chteau Giscours in Margaux it is a wine made for aging. Drink from 2020.,La Brlade,79,66,Provence,Bandol,,Provence red blend,Domaine de la Bgude
France,This wine is in peak condition. The tannins and the secondary flavors dominate this ripe leather-textured wine. The fruit is all there as well: dried berries and hints of black-plum skins. It is a major wine right at the point of drinking with both the mature flavors and the fruit in the right balance.,Chateau Montus Prestige,78,90,Southwest France,Madiran,,Tannat,Vignobles Brumont
Italy,Elegance complexity and structure come together in this drop-dead gorgeous winethat ranks among Italy's greatest whites. It opens with sublime yellow spring flower aromatic herb and orchard fruit scents. The creamy delicious palate seamlessly combines juicy white peach ripe pear and citrus flavors while white almond and savory mineral notes grace the lingering finish.,Ronco della Chiesa,50,80,Northeastern Italy,Collio,,Friulano,Borgo del Tiglio
Spain,Deep dense and pure from the opening bell this Toro is a winner. Aromas of dark ripe black fruits are cool and moderately oaked. This feels massive on the palate but sensationally balanced. Flavors of blackberry coffee mocha and toasty oak finish spicy smooth and heady. Drink this exemplary Toro through 2023.,Numanthia,55,73,Northern Spain,Toro,Tinta de Toro,Numanthia,
Spain,Lush cedary black-fruit aromas are luxe and offer notes of marzipan and vanilla. This bruiser is massive and tannic on the palate but still lush and friendly. Chocolate is a key flavor while baked berry and cassis flavors are hardly wallflowers. On the finish this is tannic and deep as a sea trench. Drink this saturated black-colored Toro through 2023.,Carodorum cnico Crianza,93,110,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodrguez
Spain,Nicely oaked blackberry licorice vanilla and charred aromas are smooth and sultry. This is an outstanding wine from an excellent year. Forward barrel-spice and mocha flavors adorn core blackberry and raspberry fruit while this runs long and tastes vaguely chocolaty on the velvety finish. Enjoy this top-notch Tempranillo through 2030.,6 Acos Reserva Premium,95,80,Northern Spain,Ribera del Duero,,Tempranillo,Valduero
Spain,Ripe aromas of fig blackberry and cassis are softened and sweetened by a slathering of oaky chocolate and vanilla. This is full layered intense and cushioned on the palate with rich flavors of chocolaty black fruits and baking spices. A toasty everlasting finish is heady but ideally balanced. Drink through 2023.,Carodorum Selecci Especial Reserva,94,110,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodrguez
Spain,Slightly gritty black-fruit aromas include a sweet note of pastry along with a hint of prune. Wall-to-wall saturation ensures that all corners of one's mouth are covered. Flavors of blackberry mocha and chocolate are highly impressive and expressive while this settles nicely on a long finish. Drink now through 2024.,San Rom,66,65,Northern Spain,Toro,Tinta de Toro,Maurodos,
US,A standout even in this terrific lineup of 2015 releases from Patricia Green the Weber opens with a burst of cola and tobacco scents and accents. It continues subtle and detailed with flavors of oranges vanilla tea and milk chocolate discreetly threaded through ripe blackberry fruit.,Weber Vineyard,48,48,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Patricia Green Cellars
US,First made in 2006 this succulent luscious Chardonnay is all about minerality. It's got a rich core of butterscotch and the seemingly endless layers of subtle flavors that biodynamic farming can bring. It spends 18 months on the lees prior to bottling. Drink now through 2028.,Sigrid,70,90,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Bergstm
US,From 18-year-old vines this supple well-balanced effort blends flavors of mocha cherry vanilla and breakfast tea. Superbly integrated and delicious even at this early stage this wine seems destined for a long and savory cellar life. Drink now through 2028.,Estate Vineyard Wadensvil Block,59,48,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Patricia Green Cellars
US,Heitz has made this stellar ros from the rare Grignolino grape since 1961. Ruby grapefruit-red it's sultry with strawberry watermelon orange zest and salty spice flavor highlighted with vibrant floral aromas.,Grignolino,25,24,California,Napa Valley,Napa,Malbec,Heitz
US,Mac Watson honors the memory of a wine once made by his mother in this tremendously delicious balanced and comple botrytised white. Dark gold in color it layers toasted hazelnut pear compote and orange peel flavors reveling in the succulence of its 122 g of residual sugar.,Special Selected Late Harvest,60,90,California,Knights Valley,Sonoma,Sauvignon Blanc,Macauley
US,The producer sources from two blocks of the vineyard for this wine one at a high elevation which contributes bright acidity. Crunchy cranberry pomegranate and orange peel flavors surround silky succulent layers of texture that present as fleshy fruit. That delicately lush flavor has considerable length.,Gap's Crown Vineyard,63,60,California,Sonoma Coast,Sonoma,Pinot Noir,Blue Farm
US,This blockbuster powerhouse of a wine suggests blueberry pie and chocolate as it opens in the glass. On the palate it's smooth and seductively silky offering complex cedar peppercorn and peppery oak seasonings amidst its dense richness. It finishes with finesse and spice.,Rainin Vineyard,96,325,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Hall
US,This fresh and lively medium-bodied wine is beautifully crafted with cherry blossom aromas and tangy acidity. Layered and seductive it offers a crisp mix of orange peel cherry pomegranate and baking spice flavors that are ready for the table or the cellar.,Gap's Crown Vineyard,95,75,California,Sonoma Coast,Sonoma,Pinot Noir,Gary Farrell
US,This re-named vineyard was formerly bottled as deLancellotti. You'll find striking minerality underscoring chunky black fruits. Accents of citrus and graphite comingle with exceptional midpalate concentration. This is a wine to cellar though it is already quite enjoyable. Drink now through 2030.,Silice,42,65,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Bergstr
US,This spent 20 months in 30% new French oak and incorporates fruit from Ponzi's Aurora Abetina and Madrona vineyards among others. Aromatic dense and toasty it deftly blends aromas and flavors of toast cigar box blackberry black cherry coffee and graphite. Tannins are polished to a fine sheen and frame a finish loaded with dark chocolate and espresso. Drink now through 2032.,Reserve,66,65,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Ponzi
US,This tremendous 100% varietal wine hails from Oakville and was aged over three years in oak. Juicy red-cherry fruit and a compelling hint of caramel greet the palate framed by elegant fine tannins and a subtle minty tone in the background. Balanced and rewarding from start to finish it has years ahead of it to develop further nuance. Enjoy,Martha's Vineyard,96,235,California,Napa Valley,Napa,Cabernet Sauvignon,Heitz
